Customer_ID,Purchase_Date,Product_Category,Product_Price,Quantity,Total_Purchase_Amount,Payment_Method,Customer_Age,Returns,Customer_Name,Age,Gender,City,Churn
44605,03/05/2023,Home,177,1,2427,PayPal,31,1,John Rivera,31,Female,Nairobi ,0
44605,16/05/2021,Electronics,174,3,2448,PayPal,31,1,John Rivera,31,Female,Nairobi ,0
44605,13/07/2020,Books,413,1,2345,Credit Card,31,1,John Rivera,31,Female,Nairobi ,0
44605,17/01/2023,Electronics,396,3,937,Cash,31,0,John Rivera,31,Female,Nairobi ,0
44605,01/05/2021,Books,259,4,2598,PayPal,31,1,John Rivera,31,Female,Nairobi ,0
13738,25/08/2022,Home,191,3,3722,Credit Card,27,1,Lauren Johnson,27,Female,Mumbai ,0
13738,05/02/2023,Books,370,5,1486,Cash,27,1,Lauren Johnson,27,Female,Mumbai ,0
13738,09/02/2023,Electronics,40,4,4327,Cash,27,0,Lauren Johnson,27,Female,Mumbai ,0
33969,05/01/2023,Home,304,1,3883,PayPal,27,1,Carol Allen,27,Male,Paris ,0
33969,18/07/2023,Books,54,2,4187,PayPal,27,0,Carol Allen,27,Male,Paris ,0
33969,20/12/2021,Electronics,428,4,2289,Cash,27,0,Carol Allen,27,Male,Paris ,0
33969,07/03/2020,Books,281,1,3810,Cash,27,0,Carol Allen,27,Male,Paris ,0
33969,21/07/2022,Home,193,2,3198,Credit Card,27,0,Carol Allen,27,Male,Paris ,0
33969,05/07/2023,Clothing,473,3,2881,Credit Card,27,1,Carol Allen,27,Male,Paris ,0
42650,18/10/2020,Books,127,5,3347,Cash,20,0,Curtis Smith,20,Female,Nairobi ,0
42650,17/05/2020,Home,284,2,3531,Credit Card,20,1,Curtis Smith,20,Female,Nairobi ,0
42650,18/03/2022,Electronics,256,2,3548,Credit Card,20,0,Curtis Smith,20,Female,Nairobi ,0
42650,21/04/2021,Clothing,252,2,1775,Credit Card,20,1,Curtis Smith,20,Female,Nairobi ,0
42650,11/11/2020,Electronics,193,2,3266,PayPal,20,1,Curtis Smith,20,Female,Nairobi ,0
